,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,20,PF,1532385154,100,-9.8,-139.03,79.85,22.08
1,mazatlan,40,MX,1532382180,56,23.22,-106.42,93.2,11.41
2,whitehorse,40,CA,1532383200,22,60.72,-135.06,80.6,9.17
3,victoria,75,BN,1532383200,94,5.28,115.24,80.6,4.41
4,suntar,68,RU,1532385155,84,62.16,117.65,56.63,3.29
5,bazarnyy karabulak,32,RU,1532385155,78,52.28,46.41,62.93,13.69
6,grants pass,90,US,1532384340,35,42.44,-123.33,98.6,2.39
7,tingo maria,68,PE,1532385156,94,-9.29,-76.01,62.75,1.61
8,punta arenas,75,CL,1532383200,70,-53.16,-70.91,44.6,34.45
9,rikitea,92,PF,1532385157,100,-23.12,-134.97,74.18,17.27
10,hasaki,75,JP,1532384340,94,35.73,140.83,78.8,5.82
11,khatanga,0,RU,1532385157,76,71.98,102.47,45.38,3.96
12,batemans bay,0,AU,1532385158,73,-35.71,150.18,58.34,4.18
13,amahai,88,ID,1532385158,100,-3.31,129.0,78.32,8.32
14,yuza,75,JP,1532383200,83,39.05,139.95,77.0,4.7
15,wuwei,0,CN,1532385159,79,37.93,102.64,60.95,2.51
16,avarua,75,CK,1532383200,73,-21.21,-159.78,77.0,3.36
17,kapaa,75,US,1532383560,94,22.08,-159.32,82.4,12.75
18,barrow,0,AR,1532385160,77,-38.31,-60.23,29.9,2.84
19,sijunjung,80,ID,1532385160,94,-0.69,100.95,70.31,2.95
20,longyearbyen,75,NO,1532382600,70,78.22,15.63,48.2,6.93
21,bluff,0,AU,1532385161,71,-23.58,149.07,64.73,4.63
22,busselton,92,AU,1532385113,100,-33.64,115.35,62.3,14.47
23,yulara,40,AU,1532383200,61,-25.24,130.99,48.2,5.82
24,arraial do cabo,0,BR,1532379600,83,-22.97,-42.02,73.4,8.05
25,puerto ayora,90,EC,1532383200,69,-0.74,-90.35,77.0,17.22
26,bosaso,20,SO,1532385162,82,11.28,49.18,89.3,16.37
27,mataura,20,NZ,1532385163,93,-46.19,168.86,44.48,7.99
28,nishihara,75,JP,1532384400,94,35.74,139.53,80.6,3.36
29,chateaudun,0,FR,1532383200,64,48.08,1.33,69.8,1.12
30,pisco,90,PE,1532383200,82,-13.71,-76.2,64.4,11.41
31,saskylakh,56,RU,1532385164,78,71.97,114.09,36.65,6.64
32,yellowknife,75,CA,1532383200,40,62.45,-114.38,68.0,3.36
33,keetmanshoop,0,NA,1532385165,49,-26.57,18.15,53.48,9.78
34,saint-leu,0,RE,1532383200,72,-21.15,55.28,68.0,19.46
35,airai,0,TL,1532385166,53,-8.93,125.41,69.41,2.39
36,hobart,40,AU,1532383200,57,-42.88,147.33,50.0,9.17
37,kijang,0,KR,1532383200,79,35.24,129.21,84.2,3.18
38,tessaoua,32,NE,1532385167,90,13.76,7.99,73.46,9.66
39,tasiilaq,0,GL,1532382600,95,65.61,-37.64,50.0,5.82
40,katsuura,75,JP,1532383200,88,33.93,134.5,82.4,6.93
41,bredasdorp,24,ZA,1532383200,87,-34.53,20.04,50.0,3.36
42,sao jose da coroa grande,92,BR,1532385168,98,-8.9,-35.15,72.56,8.32
43,port blair,92,IN,1532385168,100,11.67,92.75,81.47,18.84
44,chernyshevskiy,0,RU,1532385169,69,63.01,112.47,53.57,3.29
45,ushuaia,40,AR,1532383200,60,-54.81,-68.31,42.8,18.95
46,tiksi,80,RU,1532385169,79,71.64,128.87,42.86,10.45
47,broken hill,0,AU,1532385170,60,-31.97,141.45,55.19,9.78
48,port alfred,20,ZA,1532385110,56,-33.59,26.89,70.94,11.68
49,torbay,90,CA,1532383200,100,47.66,-52.73,68.0,21.92
50,tautira,20,PF,1532383200,62,-17.73,-149.15,84.2,6.93
51,cape town,0,ZA,1532383200,87,-33.93,18.42,55.4,6.93
52,hermanus,20,ZA,1532385172,49,-34.42,19.24,64.1,5.53
53,mahebourg,75,MU,1532383200,60,-20.41,57.7,71.6,18.34
54,saint-francois,0,FR,1532383200,72,46.42,3.91,64.4,2.62
55,saint anthony,1,US,1532382960,14,43.97,-111.68,87.8,8.05
56,umm kaddadah,8,SD,1532385173,68,13.6,26.69,78.5,12.24
57,chuy,20,UY,1532385173,83,-33.69,-53.46,47.54,15.59
58,castro,0,CL,1532385174,100,-42.48,-73.76,38.0,3.4
59,lasa,0,CY,1532383200,60,34.92,32.53,82.4,3.36
60,kupang,20,ID,1532381400,68,-10.16,123.6,71.6,11.41
61,georgetown,20,GY,1532383200,78,6.8,-58.16,82.4,13.87
62,severo-kurilsk,88,RU,1532385130,96,50.68,156.12,52.94,9.44
63,chumikan,92,RU,1532385176,99,54.72,135.31,53.21,3.4
64,meulaboh,68,ID,1532385176,100,4.14,96.13,78.32,3.18
65,carnarvon,8,ZA,1532385176,56,-30.97,22.13,48.44,11.34
66,guerrero negro,0,MX,1532385177,60,27.97,-114.04,81.47,11.9
67,vodnyy,0,RU,1532385177,69,63.51,53.41,57.08,5.19
68,mayo,40,CA,1532383200,32,63.59,-135.9,80.6,3.36
69,cidreira,100,BR,1532385178,100,-30.17,-50.22,52.67,8.66
70,trogir,0,HR,1532383200,57,43.52,16.25,75.2,4.7
71,klaksvik,92,FO,1532382600,100,62.23,-6.59,50.0,8.05
72,zhigansk,44,RU,1532385179,57,66.77,123.37,56.27,7.99
73,lagoa,0,PT,1532383200,64,37.14,-8.45,69.8,10.29
74,lewiston,1,US,1532382960,13,46.42,-117.02,95.0,5.82
75,qaanaaq,24,GL,1532385116,100,77.48,-69.36,35.03,3.4
76,pacific grove,1,US,1532382900,72,36.62,-121.92,86.0,12.75
77,bethel,40,US,1532382780,59,60.79,-161.76,66.2,5.82
78,dikson,100,RU,1532385182,89,73.51,80.55,47.63,21.07
79,ostrovnoy,24,RU,1532385182,72,68.05,39.51,68.78,12.68
80,belyy yar,0,RU,1532383200,88,53.6,91.39,66.2,6.71
